borrower,symbol,token_address,total_borrowed_amt
0xd9fd2a6f7127e23cc0a1187bfd56f113beaaea14,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x9628ec6037c765270b792e2f3450f6e2ebe8d320,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x0d0d7462f2e8c9e4ecba683f99d458c53775760d,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0xc4465b7ed0b53d98817baf6d6c6e169198009281,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0xe06b36e661cd762e723e0dcb17941b4107d28452,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x461fbe54274d5c1eded968a1d28066c5119b767b,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x5bb11e08c24d83d526ea1b6019c320ce30f97d51,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0xe94eee44fa6c42a858adebe7c0e287461fc3fe69,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x1fbcadcc4c250cf1f6da6b360263a6ebc3967aa9,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x2d4551046e470274dd0f0bc0da16dacfed13feae,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x5c9f75de55b0bdab54211978177f41714d9e090f,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0x5ae4425625bddeaed52a6907868b44c71538d332,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5001.06135
0xd2f088bdb976eeee9bfc0297603068ff9baedba7,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.864004435242
0xe5ddd6a19a21ea94a64f43d0668e0093ecaf2966,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.662850000001
0xd0633eec4dd9e8438f07f1f248c14aa8a4b207e5,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xf4da47d5aa4bbb0734d1fee4fe41b8c45c60515b,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x4d0880fa8cc86ebf98ef249c3b04ee204c84a3de,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x3fdcb1d360d7844c28e0342629234b1ae370790b,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x3d401fb42e2f5c1ac97120eac015dad48713cccd,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x158eca41f8ea57fe7f4cb653a61500054f5720f6,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x15691e4db66dd8feeba5f32d0dce39e341359578,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xe29ca8f9c2e1af136a3489c0903a168d6fbecda3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x9722e41c607819926794118ac50aa2a4c84c5f71,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xe83436775f1f02353c06bcaf650ed4177192fc0f,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xb31be5b88a3c5d9e62ba6c85b96845d536075c6b,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x7ea122667e318cc7fb8d980893ac55560a57f856,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xf49d0290a578b0014ba7c885a008334637409182,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xb5c8c9699b5698bb663e30680cadc60359c08bff,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x71eb3dbf40cc8c186bb0a804779878bb4f589864,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x2236946e0df3d2ae0b79f464742fc9e8d7bc53b1,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x6cbf7fe77c04fdcc25f4d8fd4218bb602cefc1d3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xf0b581d552c408785cfa29efee1d98bbd09802ce,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x7c834969526f2b26171213daec44f70e67ac6c81,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x63d7fc91756350118f67542cde026d77bfcf4d8d,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0xed9f10414d2db8811fc080fa1b469e2d3c739e7d,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x72a0298d4c377c6399cc7c33d3c960c18b8508db,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x765725b5ba6f34bce5e8ae46597ff058f9dd3e02,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4999.66285
0x6f552caa703bcc2fb9e6b5731d2b388cd0a6a4b7,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4919.04394386
0xa6b895ddad0ed849442cc8f1b6bc4897014b8b63,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4799.676336
0x1676796dcfeae930ecb20f05c0e8408f7036e425,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4794.205705070889
0xebbdadd4aef5d9bdb87745bebd9380d1d1b8e85d,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4700.997669
0x92364ac87716066150fbda807596a0af23aa3705,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4689.6837533
0x3e3391830588a78f6433b70e515473047bac4c32,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4665.99023955
0x38c6cde9b1bd8c4a868077003c5ea8e83322f0a2,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4655.1034500000005
0x543d74cf340458b1f2a848b052b0db4698f95584,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4619.97
0xf6edd786792d393581c6cbedff169afc2cd4d7f2,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4597.689956859999
0x13a6ec1ec57834f27da63eaa36899517371738d4,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4584.66696639809
0x67ae3474aebe8c8b844f6e7ae6683ad33412dcdd,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4580.972196600001
0xfb4effde0681f7c2a5a8bac928d16a82d687bf28,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4500.955215
0x181e37f2094dcd27d49ddb191799a283194fced1,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4500.955215
0xf11380773c12c44f56148b472c791bc468f769db,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4499.696565
0x47db6aacd1036d51bbdf9260485bc18c4e083c3b,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4499.696565
0x32dda7be7f7b63137baacaf13b308f28666db98c,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4499.696565
0x20b312ef4edd6cfec25f2cd14c2678a6e5f9c542,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4499.696565
0xc8f0faa18d60162b786d300044aae1ab2391d02a,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4424.643527885179
0xdfca1008dbf58cc6ee3f1dd675f0faf93982b262,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4389.8430369229145
0x6172f753c21778f62a5242442ba9cc6a60df151e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4322.2273378537075
0x7307c13d98360095205038c9cabd7f27bab65dd7,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4300.912761
0x99705e5283be0a615aa8060327eb482a7b88f3d7,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4300.912761
0xe5b4f2034ca45390f928087ef746f72a651d1067,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4300.912761
0xd5e5dbe8b9b3ff89bf5d04086ec29a662fcd886e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4117.52817445817
0x3b510ecf458fdf7e39db909de6f5b07675141232,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4101.72340214
0x338fd8f0b84070ec96e9752f881fb840d5f8194f,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4098.255274024755
0xf999387f0620aaa0bdf124cb8aa215746bc04ef4,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4086.4404083094723
0x9d566926338eebbc7f48ea1d8b39b44f56a8ef2a,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4074.98
0x4280aca42aff66bc0de9e6cfda722cf27d258e3c,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4033.85608491
0xe6bb60e775e615febe0b473ed7102efb5a775929,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4009.7296057000003
0x00a36bf34c91e0f240b287fa1fb510a0b0479ff9,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4000.84908
0xdaac7b118aa89c1384eac2772b8318e4c86bb73c,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4000.84908
0x2ed0ae6181bd96670c0e513ba504a90f773a5d2a,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,4000.84908
